Evaluation started at 2025-05-27 08:49:16

Image: enter_2024_11_09_20_37_09.jpg, pred_boxes=[(1370, 355, 105, 35)], pred_scores=['1.0000'], Avg IoU=0.9038
Image: leave_2024_11_04_21_31_41.jpg, pred_boxes=[(1305, 620, 100, 40)], pred_scores=['1.0000'], Avg IoU=0.8526
Image: leave_2024_11_04_21_30_21.jpg, pred_boxes=[(1305, 625, 100, 35)], pred_scores=['1.0000'], Avg IoU=0.7237
Image: leave_2024_11_04_21_32_35.jpg, pred_boxes=[(1305, 620, 100, 45)], pred_scores=['1.0000'], Avg IoU=0.7341
Image: leave_2024_11_04_21_56_11.jpg, pred_boxes=[(855, 630, 75, 115)], pred_scores=['0.9650'], Avg IoU=0.0000
Image: leave_2024_11_04_21_35_21.jpg, pred_boxes=[(1710, 550, 110, 110)], pred_scores=['0.9974'], Avg IoU=0.0000
Image: leave_2024_11_04_21_33_34.jpg, pred_boxes=[(1505, 585, 95, 75)], pred_scores=['0.9648'], Avg IoU=0.0000
Image: leave_2024_11_04_21_56_36.jpg, pred_boxes=[(1705, 645, 150, 90)], pred_scores=['0.8502'], Avg IoU=0.0000
Image: leave_2024_11_04_21_57_49.jpg, pred_boxes=[(1345, 265, 125, 100)], pred_scores=['0.9887'], Avg IoU=0.0000
Image: leave_2024_11_05_09_33_19.jpg, pred_boxes=[(895, 465, 275, 120)], pred_scores=['0.9914'], Avg IoU=0.0000
Image: leave_2024_11_05_09_33_44.jpg, pred_boxes=[(1450, 590, 115, 35)], pred_scores=['1.0000'], Avg IoU=0.8403
Image: leave_2024_11_05_09_35_24.jpg, pred_boxes=[(1455, 590, 105, 35)], pred_scores=['1.0000'], Avg IoU=0.9112
Image: leave_2024_11_05_09_45_20.jpg, pred_boxes=[(785, 460, 105, 65)], pred_scores=['1.0000'], Avg IoU=0.6875
Image: leave_2024_11_05_09_46_05.jpg, pred_boxes=[(850, 385, 75, 55)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_09_41_45.jpg, pred_boxes=[(1360, 625, 100, 35)], pred_scores=['0.9944'], Avg IoU=0.7957
Image: leave_2024_11_05_09_46_44.jpg, pred_boxes=[(410, 385, 85, 40)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_10_09_19.jpg, pred_boxes=[(1360, 445, 100, 105)], pred_scores=['1.0000'], Avg IoU=0.1697
Image: leave_2024_11_05_10_09_54.jpg, pred_boxes=[(135, 390, 115, 45)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_10_12_57.jpg, pred_boxes=[(965, 440, 95, 55)], pred_scores=['1.0000'], Avg IoU=0.8274
Image: leave_2024_11_05_10_14_10.jpg, pred_boxes=[(1030, 385, 70, 45)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_10_18_15.jpg, pred_boxes=[(1565, 530, 75, 60)], pred_scores=['1.0000'], Avg IoU=0.7720
Image: leave_2024_11_05_10_18_41.jpg, pred_boxes=[(1565, 530, 75, 55)], pred_scores=['1.0000'], Avg IoU=0.7739
Image: leave_2024_11_05_10_19_45.jpg, pred_boxes=[(1540, 230, 105, 120)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_10_20_53.jpg, pred_boxes=[(1480, 480, 80, 50)], pred_scores=['1.0000'], Avg IoU=0.8933
Image: leave_2024_11_05_10_22_08.jpg, pred_boxes=[(1480, 480, 80, 50)], pred_scores=['1.0000'], Avg IoU=0.8306
Image: leave_2024_11_05_10_23_29.jpg, pred_boxes=[(1445, 630, 85, 45)], pred_scores=['1.0000'], Avg IoU=0.8024
Image: leave_2024_11_05_10_23_54.jpg, pred_boxes=[(1445, 625, 85, 50)], pred_scores=['1.0000'], Avg IoU=0.8193
Image: leave_2024_11_05_10_24_15.jpg, pred_boxes=[(615, 635, 100, 80)], pred_scores=['0.9964'], Avg IoU=0.7840
Image: leave_2024_11_05_10_25_14.jpg, pred_boxes=[(1445, 625, 85, 50)], pred_scores=['1.0000'], Avg IoU=0.8723
Image: leave_2024_11_05_10_36_44.jpg, pred_boxes=[(135, 390, 95, 45)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_10_41_16.jpg, pred_boxes=[(1185, 685, 100, 30)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_10_50_07.jpg, pred_boxes=[(2115, 600, 220, 100)], pred_scores=['0.9281'], Avg IoU=0.0000
Image: leave_2024_11_05_10_51_48.jpg, pred_boxes=[(595, 515, 80, 45)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_10_52_26.jpg, pred_boxes=[(1770, 520, 140, 30)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_10_52_50.jpg, pred_boxes=[(600, 515, 70, 40)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_10_54_32.jpg, pred_boxes=[(825, 415, 110, 60)], pred_scores=['0.9890'], Avg IoU=0.0000
Image: leave_2024_11_05_11_00_40.jpg, pred_boxes=[(1705, 515, 205, 35)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_10_54_57.jpg, pred_boxes=[(2020, 600, 70, 75)], pred_scores=['0.9878'], Avg IoU=0.0000
Image: leave_2024_11_05_11_23_35.jpg, pred_boxes=[(2345, 845, 215, 80)], pred_scores=['0.9350'], Avg IoU=0.0000
Image: leave_2024_11_05_11_37_50.jpg, pred_boxes=[(1700, 465, 90, 75)], pred_scores=['1.0000'], Avg IoU=0.8028
Image: leave_2024_11_05_11_59_38.jpg, pred_boxes=[(1840, 480, 135, 110)], pred_scores=['0.9775'], Avg IoU=0.0000
Image: leave_2024_11_05_12_16_21.jpg, pred_boxes=[(1300, 625, 100, 45)], pred_scores=['1.0000'], Avg IoU=0.5554
Image: leave_2024_11_05_12_16_45.jpg, pred_boxes=[(765, 80, 120, 55)], pred_scores=['0.9536'], Avg IoU=0.0000
Image: leave_2024_11_05_12_17_58.jpg, pred_boxes=[(1500, 715, 100, 45)], pred_scores=['0.9971'], Avg IoU=0.0000
Image: leave_2024_11_05_12_48_23.jpg, pred_boxes=[(1600, 570, 165, 40)], pred_scores=['0.9971'], Avg IoU=0.0000
Image: leave_2024_11_05_12_47_34.jpg, pred_boxes=[(1995, 420, 110, 95)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_12_49_11.jpg, pred_boxes=[(955, 650, 75, 45)], pred_scores=['0.9914'], Avg IoU=0.0000
Image: leave_2024_11_05_13_01_26.jpg, pred_boxes=[(1630, 240, 60, 110)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_13_10_51.jpg, pred_boxes=[(1090, 340, 135, 85)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_13_12_31.jpg, pred_boxes=[(1165, 185, 135, 70)], pred_scores=['0.9589'], Avg IoU=0.0000
Image: leave_2024_11_05_13_38_05.jpg, pred_boxes=[(1690, 480, 90, 55)], pred_scores=['1.0000'], Avg IoU=0.7653
Image: leave_2024_11_05_13_38_29.jpg, pred_boxes=[(1690, 480, 90, 55)], pred_scores=['1.0000'], Avg IoU=0.8359
Image: leave_2024_11_05_13_44_23.jpg, pred_boxes=[(1595, 660, 120, 80)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_13_45_34.jpg, pred_boxes=[(1555, 445, 70, 45)], pred_scores=['1.0000'], Avg IoU=0.6431
Image: leave_2024_11_05_14_10_20.jpg, pred_boxes=[(100, 315, 65, 80)], pred_scores=['0.9888'], Avg IoU=0.0000
Image: leave_2024_11_05_14_12_29.jpg, pred_boxes=[(1225, 280, 80, 50)], pred_scores=['0.9844'], Avg IoU=0.0000
Image: leave_2024_11_05_14_49_36.jpg, pred_boxes=[(895, 495, 115, 35)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_15_19_01.jpg, pred_boxes=[(1355, 475, 140, 50)], pred_scores=['1.0000'], Avg IoU=0.8809
Image: leave_2024_11_05_15_22_03.jpg, pred_boxes=[(1140, 570, 60, 45)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_15_24_37.jpg, pred_boxes=[(1295, 640, 100, 40)], pred_scores=['1.0000'], Avg IoU=0.7442
Image: leave_2024_11_05_16_06_06.jpg, pred_boxes=[(770, 380, 105, 40)], pred_scores=['1.0000'], Avg IoU=0.6750
Image: leave_2024_11_05_15_34_23.jpg, pred_boxes=[(955, 415, 100, 35)], pred_scores=['1.0000'], Avg IoU=0.9423
Image: leave_2024_11_05_17_38_32.jpg, pred_boxes=[(1660, 435, 110, 70)], pred_scores=['0.9819'], Avg IoU=0.0000
Image: leave_2024_11_05_17_58_32.jpg, pred_boxes=[(1490, 590, 120, 45)], pred_scores=['1.0000'], Avg IoU=0.8566
Image: leave_2024_11_05_18_17_18.jpg, pred_boxes=[(515, 395, 100, 75)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_18_01_11.jpg, pred_boxes=[(1050, 590, 125, 40)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_18_17_23.jpg, pred_boxes=[(1140, 460, 100, 95)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_19_59_54.jpg, pred_boxes=[(990, 580, 135, 40)], pred_scores=['0.9969'], Avg IoU=0.0000
Image: leave_2024_11_05_20_49_56.jpg, pred_boxes=[(1610, 490, 150, 60)], pred_scores=['1.0000'], Avg IoU=0.8401
Image: leave_2024_11_05_20_50_29.jpg, pred_boxes=[(1210, 720, 260, 45)], pred_scores=['0.9923'], Avg IoU=0.0000
Image: leave_2024_11_05_20_50_42.jpg, pred_boxes=[(1245, 730, 170, 35)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_20_52_59.jpg, pred_boxes=[(1335, 655, 100, 55)], pred_scores=['0.9097'], Avg IoU=0.0000
Image: leave_2024_11_05_20_52_18.jpg, pred_boxes=[(1415, 575, 115, 40)], pred_scores=['1.0000'], Avg IoU=0.8347
Image: leave_2024_11_05_20_51_12.jpg, pred_boxes=[(1415, 575, 110, 40)], pred_scores=['1.0000'], Avg IoU=0.9089
Image: leave_2024_11_05_20_54_37.jpg, pred_boxes=[(2025, 545, 110, 105)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_05_20_56_19.jpg, pred_boxes=[(1115, 620, 235, 50)], pred_scores=['1.0000'], Avg IoU=0.0791
Image: leave_2024_11_05_20_56_53.jpg, pred_boxes=[(760, 545, 75, 60)], pred_scores=['0.9799'], Avg IoU=0.0000
Image: leave_2024_11_06_09_26_23.jpg, pred_boxes=[(1500, 185, 125, 65)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_06_09_26_42.jpg, pred_boxes=[(1495, 185, 135, 55)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_06_10_00_14.jpg, pred_boxes=[(410, 385, 85, 40)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_06_10_06_29.jpg, pred_boxes=[(505, 255, 225, 105)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_06_10_11_14.jpg, pred_boxes=[(135, 385, 90, 50)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_06_10_07_19.jpg, pred_boxes=[(505, 255, 225, 105)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_06_10_18_05.jpg, pred_boxes=[(405, 385, 85, 40)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_06_10_11_47.jpg, pred_boxes=[(250, 550, 60, 55)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_06_11_07_27.jpg, pred_boxes=[(1295, 460, 100, 115)], pred_scores=['1.0000'], Avg IoU=0.2222
Image: leave_2024_11_06_11_40_03.jpg, pred_boxes=[(1870, 285, 70, 65)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_06_11_35_45.jpg, pred_boxes=[(135, 390, 95, 45)], pred_scores=['0.9964'], Avg IoU=0.0000
Image: leave_2024_11_06_12_09_37.jpg, pred_boxes=[(135, 385, 95, 50)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_06_12_28_28.jpg, pred_boxes=[(1735, 415, 105, 80)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_06_12_15_41.jpg, pred_boxes=[(130, 390, 100, 45)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_06_12_33_21.jpg, pred_boxes=[(620, 635, 160, 85)], pred_scores=['1.0000'], Avg IoU=0.7393
Image: leave_2024_11_06_12_34_34.jpg, pred_boxes=[(620, 630, 160, 90)], pred_scores=['1.0000'], Avg IoU=0.7058
Image: leave_2024_11_06_12_42_11.jpg, pred_boxes=[(1690, 440, 160, 40)], pred_scores=['0.9813'], Avg IoU=0.0000
Image: leave_2024_11_06_12_48_28.jpg, pred_boxes=[(485, 600, 150, 85)], pred_scores=['1.0000'], Avg IoU=0.7522
Image: leave_2024_11_06_12_44_31.jpg, pred_boxes=[(1660, 565, 115, 35)], pred_scores=['0.9695'], Avg IoU=0.0000
Image: leave_2024_11_06_15_23_26.jpg, pred_boxes=[(975, 515, 145, 70)], pred_scores=['0.9939'], Avg IoU=0.4385
Image: leave_2024_11_06_16_23_57.jpg, pred_boxes=[(1435, 395, 170, 30)], pred_scores=['0.9973'], Avg IoU=0.0000
Image: leave_2024_11_06_16_04_17.jpg, pred_boxes=[(880, 535, 130, 45)], pred_scores=['0.9969'], Avg IoU=0.8462
Image: leave_2024_11_06_18_18_22.jpg, pred_boxes=[(2310, 455, 100, 40)], pred_scores=['0.9603'], Avg IoU=0.0000
Image: leave_2024_11_07_09_52_23.jpg, pred_boxes=[(1070, 525, 80, 55)], pred_scores=['1.0000'], Avg IoU=0.7473
Image: leave_2024_11_07_09_53_15.jpg, pred_boxes=[(410, 385, 85, 35)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_07_09_53_40.jpg, pred_boxes=[(410, 385, 85, 35)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_07_10_04_31.jpg, pred_boxes=[(410, 385, 85, 40)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_07_09_54_06.jpg, pred_boxes=[(410, 385, 85, 35)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_07_10_05_52.jpg, pred_boxes=[(410, 385, 85, 40)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_07_10_06_18.jpg, pred_boxes=[(245, 310, 220, 120)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_07_10_07_15.jpg, pred_boxes=[(405, 385, 90, 40)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_07_10_45_57.jpg, pred_boxes=[(515, 555, 160, 70)], pred_scores=['1.0000'], Avg IoU=0.9452
Image: leave_2024_11_07_11_05_39.jpg, pred_boxes=[(2385, 655, 175, 100)], pred_scores=['0.9837'], Avg IoU=0.0000
Image: leave_2024_11_07_11_28_54.jpg, pred_boxes=[(515, 415, 80, 110)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_07_11_27_39.jpg, pred_boxes=[(1005, 410, 95, 65)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_07_11_12_13.jpg, pred_boxes=[(135, 390, 95, 45)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_07_11_30_04.jpg, pred_boxes=[(1125, 405, 260, 85)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_09_59_06.jpg, pred_boxes=[(865, 305, 105, 40)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_07_11_46_53.jpg, pred_boxes=[(1030, 400, 75, 45)], pred_scores=['1.0000'], Avg IoU=0.8871
Image: leave_2024_11_08_09_59_18.jpg, pred_boxes=[(915, 385, 60, 50)], pred_scores=['1.0000'], Avg IoU=0.7595
Image: leave_2024_11_08_09_59_28.jpg, pred_boxes=[(915, 385, 65, 50)], pred_scores=['1.0000'], Avg IoU=0.7819
Image: leave_2024_11_08_09_59_38.jpg, pred_boxes=[(665, 90, 165, 40)], pred_scores=['0.9286'], Avg IoU=0.0000
Image: leave_2024_11_08_09_59_59.jpg, pred_boxes=[(915, 385, 65, 50)], pred_scores=['1.0000'], Avg IoU=0.7864
Image: leave_2024_11_08_09_59_49.jpg, pred_boxes=[(915, 385, 65, 50)], pred_scores=['1.0000'], Avg IoU=0.8400
Image: leave_2024_11_08_10_00_10.jpg, pred_boxes=[(915, 385, 70, 50)], pred_scores=['1.0000'], Avg IoU=0.7124
Image: leave_2024_11_08_10_00_21.jpg, pred_boxes=[(915, 385, 65, 50)], pred_scores=['1.0000'], Avg IoU=0.7862
Image: leave_2024_11_08_10_00_33.jpg, pred_boxes=[(1270, 455, 95, 55)], pred_scores=['0.9969'], Avg IoU=0.7212
Image: leave_2024_11_08_10_01_08.jpg, pred_boxes=[(770, 80, 255, 55)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_01_32.jpg, pred_boxes=[(800, 90, 90, 40)], pred_scores=['0.9971'], Avg IoU=0.0000
Image: leave_2024_11_08_10_02_33.jpg, pred_boxes=[(1110, 335, 120, 85)], pred_scores=['1.0000'], Avg IoU=0.4363
Image: leave_2024_11_08_10_03_59.jpg, pred_boxes=[(900, 325, 75, 40)], pred_scores=['1.0000'], Avg IoU=0.8862
Image: leave_2024_11_08_10_04_11.jpg, pred_boxes=[(670, 410, 240, 40)], pred_scores=['0.9398'], Avg IoU=0.0000
Image: leave_2024_11_08_10_04_23.jpg, pred_boxes=[(1685, 355, 105, 85)], pred_scores=['0.9774'], Avg IoU=0.0000
Image: leave_2024_11_08_10_04_38.jpg, pred_boxes=[(1015, 305, 110, 95)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_07_40.jpg, pred_boxes=[(605, 205, 155, 80)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_07_57.jpg, pred_boxes=[(775, 80, 250, 50)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_08_13.jpg, pred_boxes=[(640, 90, 185, 55)], pred_scores=['0.9948'], Avg IoU=0.0000
Image: leave_2024_11_08_10_08_23.jpg, pred_boxes=[(595, 150, 120, 75)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_08_33.jpg, pred_boxes=[(585, 145, 130, 80)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_08_44.jpg, pred_boxes=[(695, 90, 115, 45)], pred_scores=['0.9973'], Avg IoU=0.0000
Image: leave_2024_11_08_10_08_55.jpg, pred_boxes=[(595, 150, 120, 75)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_09_05.jpg, pred_boxes=[(1360, 200, 105, 105)], pred_scores=['0.9974'], Avg IoU=0.0000
Image: leave_2024_11_08_10_09_17.jpg, pred_boxes=[(80, 1200, 155, 55)], pred_scores=['0.9931'], Avg IoU=0.0000
Image: leave_2024_11_08_10_09_27.jpg, pred_boxes=[(950, 370, 80, 55)], pred_scores=['1.0000'], Avg IoU=0.6012
Image: leave_2024_11_08_10_09_38.jpg, pred_boxes=[(1270, 190, 125, 80)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_09_50.jpg, pred_boxes=[(950, 370, 65, 40)], pred_scores=['1.0000'], Avg IoU=0.7002
Image: leave_2024_11_08_10_25_46.jpg, pred_boxes=[(1330, 475, 160, 65)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_10_02.jpg, pred_boxes=[(2120, 555, 70, 105)], pred_scores=['1.0000'], Avg IoU=0.7723
Image: leave_2024_11_08_10_25_59.jpg, pred_boxes=[(1565, 655, 180, 90)], pred_scores=['1.0000'], Avg IoU=0.0208
Image: leave_2024_11_08_10_26_10.jpg, pred_boxes=[(1565, 655, 185, 105)], pred_scores=['1.0000'], Avg IoU=0.0116
Image: leave_2024_11_08_10_26_20.jpg, pred_boxes=[(1570, 655, 180, 90)], pred_scores=['1.0000'], Avg IoU=0.0077
Image: leave_2024_11_08_10_26_31.jpg, pred_boxes=[(1565, 655, 190, 110)], pred_scores=['1.0000'], Avg IoU=0.0160
Image: leave_2024_11_08_10_26_41.jpg, pred_boxes=[(1570, 655, 180, 90)], pred_scores=['1.0000'], Avg IoU=0.0053
Image: leave_2024_11_08_10_26_51.jpg, pred_boxes=[(1745, 655, 150, 80)], pred_scores=['1.0000'], Avg IoU=0.7907
Image: leave_2024_11_08_10_27_01.jpg, pred_boxes=[(1570, 655, 185, 95)], pred_scores=['1.0000'], Avg IoU=0.0235
Image: leave_2024_11_08_10_27_12.jpg, pred_boxes=[(1570, 655, 185, 110)], pred_scores=['1.0000'], Avg IoU=0.0187
Image: leave_2024_11_08_10_27_26.jpg, pred_boxes=[(1750, 655, 160, 80)], pred_scores=['1.0000'], Avg IoU=0.8075
Image: leave_2024_11_08_10_27_37.jpg, pred_boxes=[(645, 425, 175, 45)], pred_scores=['1.0000'], Avg IoU=0.1331
Image: leave_2024_11_08_10_27_54.jpg, pred_boxes=[(845, 445, 85, 35)], pred_scores=['1.0000'], Avg IoU=0.8559
Image: leave_2024_11_08_10_30_54.jpg, pred_boxes=[(820, 195, 75, 35)], pred_scores=['1.0000'], Avg IoU=0.6378
Image: leave_2024_11_08_10_31_05.jpg, pred_boxes=[(70, 1195, 170, 60)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_31_17.jpg, pred_boxes=[(820, 190, 75, 45)], pred_scores=['1.0000'], Avg IoU=0.7464
Image: leave_2024_11_08_10_31_29.jpg, pred_boxes=[(820, 190, 75, 45)], pred_scores=['1.0000'], Avg IoU=0.7236
Image: leave_2024_11_08_10_31_40.jpg, pred_boxes=[(810, 170, 95, 65)], pred_scores=['0.9768'], Avg IoU=0.5843
Image: leave_2024_11_08_10_31_51.jpg, pred_boxes=[(820, 190, 80, 40)], pred_scores=['0.9946'], Avg IoU=0.7356
Image: leave_2024_11_08_10_32_01.jpg, pred_boxes=[(985, 65, 125, 120)], pred_scores=['0.9915'], Avg IoU=0.0000
Image: leave_2024_11_08_10_32_11.jpg, pred_boxes=[(375, 350, 95, 65)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_32_32.jpg, pred_boxes=[(375, 345, 95, 70)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_32_21.jpg, pred_boxes=[(375, 345, 95, 70)], pred_scores=['0.9973'], Avg IoU=0.0000
Image: leave_2024_11_08_10_33_08.jpg, pred_boxes=[(1245, 370, 95, 60)], pred_scores=['1.0000'], Avg IoU=0.8724
Image: leave_2024_11_08_10_32_47.jpg, pred_boxes=[(810, 170, 90, 65)], pred_scores=['1.0000'], Avg IoU=0.7773
Image: leave_2024_11_08_10_33_19.jpg, pred_boxes=[(1170, 315, 105, 85)], pred_scores=['1.0000'], Avg IoU=0.0680
Image: leave_2024_11_08_10_33_32.jpg, pred_boxes=[(1090, 390, 155, 70)], pred_scores=['0.9740'], Avg IoU=0.0000
Image: leave_2024_11_08_10_33_43.jpg, pred_boxes=[(1250, 370, 95, 60)], pred_scores=['1.0000'], Avg IoU=0.8597
Image: leave_2024_11_08_10_33_53.jpg, pred_boxes=[(1090, 390, 155, 80)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_34_03.jpg, pred_boxes=[(1250, 370, 95, 60)], pred_scores=['1.0000'], Avg IoU=0.8630
Image: leave_2024_11_08_10_34_14.jpg, pred_boxes=[(1250, 370, 95, 60)], pred_scores=['1.0000'], Avg IoU=0.8053
Image: leave_2024_11_08_10_34_31.jpg, pred_boxes=[(1255, 320, 110, 70)], pred_scores=['1.0000'], Avg IoU=0.1587
Image: leave_2024_11_08_10_54_36.jpg, pred_boxes=[(405, 350, 80, 70)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_10_55_06.jpg, pred_boxes=[(1050, 360, 75, 45)], pred_scores=['1.0000'], Avg IoU=0.7353
Image: leave_2024_11_08_10_55_37.jpg, pred_boxes=[(1165, 370, 100, 60)], pred_scores=['1.0000'], Avg IoU=0.7990
Image: leave_2024_11_08_10_56_10.jpg, pred_boxes=[(965, 0, 60, 95)], pred_scores=['0.9551'], Avg IoU=0.0000
Image: leave_2024_11_08_10_56_41.jpg, pred_boxes=[(1175, 370, 85, 50)], pred_scores=['1.0000'], Avg IoU=0.7795
Image: leave_2024_11_08_13_15_58.jpg, pred_boxes=[(960, 455, 105, 35)], pred_scores=['1.0000'], Avg IoU=0.8968
Image: leave_2024_11_08_13_45_49.jpg, pred_boxes=[(1215, 310, 135, 100)], pred_scores=['0.9970'], Avg IoU=0.1177
Image: leave_2024_11_08_13_49_10.jpg, pred_boxes=[(50, 195, 65, 75)], pred_scores=['0.9962'], Avg IoU=0.0000
Image: leave_2024_11_08_14_13_29.jpg, pred_boxes=[(1015, 425, 280, 110)], pred_scores=['1.0000'], Avg IoU=0.0490
Image: leave_2024_11_08_15_23_58.jpg, pred_boxes=[(1595, 250, 125, 50)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_14_27_27.jpg, pred_boxes=[(1140, 285, 110, 50)], pred_scores=['0.9964'], Avg IoU=0.0000
Image: leave_2024_11_08_18_10_59.jpg, pred_boxes=[(1280, 385, 65, 95)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_19_02_43.jpg, pred_boxes=[(1255, 390, 140, 75)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_20_41_12.jpg, pred_boxes=[(1280, 310, 105, 75)], pred_scores=['1.0000'], Avg IoU=0.6910
Image: leave_2024_11_08_20_43_50.jpg, pred_boxes=[(805, 85, 120, 50)], pred_scores=['0.9784'], Avg IoU=0.0000
Image: leave_2024_11_08_20_44_24.jpg, pred_boxes=[(820, 80, 175, 55)], pred_scores=['0.9698'], Avg IoU=0.0000
Image: leave_2024_11_08_20_44_37.jpg, pred_boxes=[(65, 215, 150, 90)], pred_scores=['0.9492'], Avg IoU=0.0000
Image: leave_2024_11_08_20_44_51.jpg, pred_boxes=[(80, 1195, 150, 60)], pred_scores=['0.9736'], Avg IoU=0.0000
Image: leave_2024_11_08_20_47_47.jpg, pred_boxes=[(75, 1200, 160, 55)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_08_20_52_03.jpg, pred_boxes=[(2090, 530, 105, 105)], pred_scores=['0.9952'], Avg IoU=0.0000
Image: leave_2024_11_08_21_01_51.jpg, pred_boxes=[(1330, 385, 85, 55)], pred_scores=['0.9030'], Avg IoU=0.7301
Image: leave_2024_11_08_21_11_58.jpg, pred_boxes=[(2090, 530, 105, 100)], pred_scores=['0.9925'], Avg IoU=0.0000
Image: leave_2024_11_09_09_45_17.jpg, pred_boxes=[(1270, 195, 125, 110)], pred_scores=['0.9955'], Avg IoU=0.0000
Image: leave_2024_11_09_09_45_47.jpg, pred_boxes=[(1330, 335, 65, 65)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_09_09_47_10.jpg, pred_boxes=[(1200, 290, 85, 50)], pred_scores=['1.0000'], Avg IoU=0.8049
